Calendar_Year,Blind_Model,n,claims
2005,BB.10,598,4
2005,BV.11,5670,39
2005,AH.125,2616,15
2005,K.1,772,3
2005,AL.16,3345,18
2005,AZ.21,2935,24
2005,AI.11,161,1
2005,BU.36,7916,65
2005,M.18,7397,53
2005,AU.49,11107,68
2005,K.57,3475,26
2005,BV.6,3723,23
2005,P.2,17343,159
2005,BV.20,7267,66
2005,BU.20,3830,25
2005,BW.96,21241,183
2005,?,2441,12
2005,K.70,355,1
2005,L.14,12431,86
2005,BU.38,14880,93
2005,BV.17,2621,13
2005,AI.4,2712,27
2005,X.57,1554,3
2005,BT.49,2892,15
2005,O.10,12872,112
2005,AU.43,674,2
2005,AU.40,27235,209
2005,BZ.33,808,3
2005,BW.37,796,6
2005,BW.22,2089,18
2005,AH.77,999,8
2005,AW.1,1655,12
2005,AJ.35,26471,192
2005,N.17,2426,12
2005,AI.5,186,1
2005,AH.106,4400,33
2005,AI.12,1593,14
2005,AL.33,2893,17
2005,AJ.1,742,1
2005,Y.5,2077,11
2005,AN.16,6007,73
2005,G.8,2116,17
2005,P.24,3766,22
2005,D.6,7575,56
2005,AR.5,5376,46
2005,AH.8,7520,48
2005,K.40,6810,50
2005,BT.50,2178,16
2005,AR.2,1787,8
2005,BZ.9,1594,22
2005,BZ.11,1696,13
2005,AV.1,4596,40
2005,BW.132,7746,43
2005,BW.157,21948,146
2005,AO.20,4402,33
2005,BV.8,15935,141
2005,AJ.7,7510,42
2005,K.15,1077,9
2005,BW.178,3345,20
2005,AJ.9,9188,44
2005,AH.70,5886,49
2005,Z.27,250,4
2005,BW.32,1254,6
2005,AI.17,6438,31
2005,BW.174,2358,28
2005,BF.39,1812,11
2005,BO.47,12961,95
2005,X.1,1762,10
2005,X.52,8235,43
2005,K.39,5219,31
2005,AL.53,69,1
2005,BO.58,3615,34
2005,AO.13,1944,15
2005,K.82,8547,58
2005,AH.118,428,1
2005,AV.10,11366,118
2005,BO.67,260,0
2005,BO.69,1846,11
2005,AI.15,328,0
2005,AH.81,1843,9
2005,AU.69,1834,10
2005,AJ.88,1601,8
2005,K.50,8038,38
2005,AR.35,10244,57
2005,BP.20,434,8
2005,AH.6,5046,15
2005,BW.36,6490,46
2005,R.24,2142,9
2005,AZ.32,354,5
2005,BF.35,3292,22
2005,L.56,1966,6
2005,P.13,3830,16
2005,P.20,110,0
2005,G.6,296,1
2005,Z.38,9360,76
2005,K.81,16255,104
2005,BW.40,4168,19
2005,BW.43,7131,42
2005,W.5,2609,6
2005,BV.24,15660,107
2005,AJ.17,7927,79
2005,AJ.14,18240,118
2005,L.15,932,4
2005,AH.69,7116,55
2005,Y.38,2208,14
2005,BT.72,3219,9
2005,AL.72,2520,12
2005,I.41,910,3
2005,I.24,1242,11
2005,BW.160,12437,75
2005,BT.10,1350,4
2005,BP.6,6702,49
2005,AO.6,2148,17
2005,BW.149,182,3
2005,BW.183,900,1
2005,AR.14,3382,31
2005,AQ.39,6486,42
2005,Y.36,3376,29
2005,D.11,1214,10
2005,AV.11,176,0
2005,K.11,2166,9
2005,BW.34,2509,12
2005,AY.13,220,3
2005,BP.8,5623,52
2005,BW.9,334,3
2005,K.10,9615,76
2005,Y.21,2950,21
2005,BF.31,776,6
2005,BB.3,2119,15
2005,R.48,2520,17
2005,J.6,3904,25
2005,AF.24,4274,30
2005,K.69,781,7
2005,R.27,2612,8
2005,BU.29,2137,8
2005,AO.25,2584,16
2005,X.40,1543,6
2005,L.6,3169,17
2005,AO.33,2047,9
2005,AR.37,1333,7
2005,AO.11,2743,19
2005,AZ.26,1922,22
2005,BV.9,4542,25
2005,AR.45,2038,11
2005,BG.4,1827,4
2005,AJ.82,30,0
2005,K.51,8453,57
2005,AJ.89,2599,19
2005,BO.18,370,0
2005,AU.1,3637,25
2005,BW.92,6662,70
2005,BG.19,2705,2
2005,P.36,4794,34
2005,AR.3,1113,7
2005,AH.39,520,4
2005,BO.39,1421,9
2005,AZ.34,175,3
2005,G.4,266,4
2005,BW.13,5626,17
2005,BH.22,588,8
2005,BZ.36,628,4
2005,AQ.31,2696,13
2005,P.18,4540,39
2005,BT.73,2727,9
2005,AR.11,926,4
2005,BO.60,1729,10
2005,AN.11,9327,74
2005,R.10,247,4
2005,BO.20,1330,2
2005,J.10,1891,9
2005,AU.2,3759,38
2005,AL.73,923,7
2005,X.25,4031,33
2005,AJ.123,23580,136
2005,M.19,3885,20
2005,AZ.17,686,7
2005,K.79,3902,21
2005,BV.33,1723,11
2005,K.44,2053,13
2005,BP.24,5729,35
2005,AC.3,2486,30
2005,U.7,236,1
2005,AJ.44,1525,3
2005,AL.46,3899,30
2005,BU.3,2126,15
2005,AJ.43,4481,21
2005,K.76,525,6
2005,AU.16,2220,15
2005,BW.154,709,4
2005,BW.66,1442,6
2005,BF.44,3822,36
2005,AJ.29,13518,75
2005,BB.6,1497,9
2005,L.20,2373,9
2005,CB.2,14,0
2005,E.9,65,0
2005,BV.4,483,2
2005,M.13,8422,72
2005,AY.37,4357,27
2005,AL.5,1585,9
2005,I.18,1549,11
2005,BV.21,573,2
2005,AR.43,296,2
2005,AF.4,866,4
2005,P.34,7613,52
2005,P.45,1752,10
2005,BF.29,768,2
2005,AH.170,351,2
2005,AL.13,981,4
2005,K.63,5505,26
2005,AY.30,6604,40
2005,BH.12,1785,12
2005,N.26,755,14
2005,BO.98,369,1
2005,AL.45,586,5
2005,AL.23,916,8
2005,K.17,297,2
2005,AO.12,2318,26
2005,R.32,3010,13
2005,BT.31,1000,3
2005,AH.101,2108,10
2005,BD.2,1828,17
2005,R.12,280,1
2005,BO.104,201,1
2005,Y.11,1838,13
2005,BO.72,2740,26
2005,BU.35,6392,49
2005,AR.18,478,1
2005,Q.15,643,1
2005,K.20,1281,3
2005,Y.1,1900,16
2005,AH.2,341,1
2005,AJ.30,144,0
2005,BW.129,617,7
2005,Y.46,138,2
2005,AC.4,1550,15
2005,Z.39,368,4
2005,AL.67,29,0
2005,AL.110,50,0
2005,AL.64,227,0
2005,BZ.28,695,4
2005,L.3,1625,8
2006,L.3,1270,5
2006,BW.43,8732,46
2005,AR.40,483,3
2006,AR.40,434,1
2006,BW.157,24038,140
2006,AN.11,11662,73
2006,W.20,10345,111
2006,BT.43,15697,80
2006,BU.35,6462,52
2006,BT.73,3290,9
2006,AU.27,10609,116
2006,Y.36,5368,70
2006,K.78,7926,53
2006,AH.75,4437,24
2006,BH.12,2478,15
2006,BU.3,4178,21
2006,AJ.49,22971,144
2006,BF.36,35066,399
2006,BW.40,3530,29
2006,AH.76,1588,8
2006,L.28,11642,96
2006,AU.58,51267,507
2005,AO.10,795,2
2005,D.21,5452,41
2006,K.68,1451,2
2006,BW.48,7847,44
2006,AN.2,9473,94
2005,AL.6,1050,11
2006,AL.6,997,9
2006,R.27,7506,49
2006,AJ.113,2393,10
2006,O.19,5779,72
2006,K.86,10078,74
2005,AL.71,1300,9
2006,AL.71,1338,7
2006,K.34,13782,87
2006,AR.16,6116,38
2006,M.13,8014,62
2006,BH.20,8331,99
2006,AU.49,10691,50
2006,R.23,13943,88
2005,BY.4,3842,17
2006,BY.4,5052,26
2006,AJ.64,3943,31
2006,K.39,5411,49
2005,BZ.14,3137,28
2006,BZ.14,3502,21
2006,BV.6,3349,30
2006,BU.5,7406,68
2006,AO.20,5983,29
2006,D.21,6309,47
2005,K.35,7871,56
2006,K.35,10431,52
2006,AQ.39,5780,37
2006,Q.40,5222,44
2006,Y.42,25180,165
2006,AJ.112,5460,37
2005,BZ.16,3480,29
2006,BZ.16,4202,26
2006,BO.58,3682,33
2005,BT.29,88,0
2006,BT.29,78,3
2006,W.3,8222,65
2006,BO.60,2080,17
2005,BW.1,805,7
2006,AH.106,5210,37
2006,M.18,10686,79
2006,BB.10,613,6
2006,X.12,10380,55
2005,BO.11,200,1
2006,AV.1,3951,14
2006,BT.49,3281,27
2006,AH.8,7736,45
2006,AI.17,6286,21
2006,BO.47,16439,94
2006,BO.35,13262,115
2006,AJ.5,3805,22
2006,AU.2,3545,20
2005,O.11,4136,39
2006,BV.17,2363,8
2006,AL.16,3496,17
2006,AZ.17,627,7
2006,BW.5,1636,8
2006,X.28,4478,31
2006,AU.16,3729,29
2005,K.67,52,0
2006,K.67,47,1
2006,BU.36,10042,74
2006,K.92,5709,38
2006,I.16,1450,12
2005,I.16,1443,17
2006,K.81,17618,107
2005,K.93,2362,21
2006,K.93,3924,20
2006,BO.72,3280,18
2006,BV.11,5955,30
2006,BW.42,8135,63
2006,P.36,6045,30
2006,BP.6,8461,76
2006,AJ.77,17621,105
2006,AY.37,5105,30
2006,BO.15,5232,17
2005,G.10,1680,13
2006,G.10,1514,12
2006,Z.43,630,5
2006,AH.7,8269,72
2006,P.15,1478,13
2005,AR.36,1377,9
2006,AR.36,1271,10
2006,BW.49,13902,81
2006,BV.24,14902,83
2006,BP.8,6799,76
2005,AI.27,1061,8
2005,BO.88,382,2
2006,BF.18,1661,17
2006,BW.79,3236,11
2006,BT.63,13395,94
2006,BW.126,9894,45
2006,BU.38,16388,129
2006,BW.107,7964,28
2005,BW.79,489,0
2006,AZ.26,1748,13
2006,BO.3,4454,29
2006,Y.21,6593,46
2006,AX.4,12997,103
2006,AI.20,7595,59
2006,BT.69,7639,46
2005,BG.16,1017,0
2006,BG.16,1015,2
2006,BW.178,4049,24
2006,K.60,15649,111
2005,Z.43,639,6
2006,G.8,1808,20
2005,BT.1,169,1
2006,BT.1,164,0
2005,X.19,1748,5
2006,L.14,11886,60
2006,L.49,17576,138
2006,BP.23,6123,48
2006,AH.70,5963,31
2006,N.17,2634,21
2006,AC.4,1478,18
2006,AR.35,10821,80
2006,AL.14,14798,107
2006,BW.132,9261,44
2005,AH.18,741,9
2006,BV.13,695,7
2005,BV.13,872,4
2006,X.9,20435,174
2006,BZ.9,1506,11
2006,BW.1,823,4
2006,K.4,1125,14
2005,BW.17,4177,23
2006,BW.17,4161,18
2006,D.7,331,2
2006,D.6,8483,69
2006,AF.24,4948,32
2005,AX.1,4945,24
2006,K.10,11312,84
2006,BW.96,21596,144
2006,AZ.34,148,0
2006,AZ.32,288,1
2006,AR.5,4528,20
2006,BP.18,4068,30
2006,I.18,1577,10
2006,Q.43,14746,112
2005,BW.69,3677,13
2006,BW.69,5805,28
2006,AJ.43,5217,31
2005,BH.30,6627,70
2006,BH.30,6622,43
2006,AH.101,3542,9
2006,AL.63,174,3
2006,AL.33,3845,20
2006,D.11,982,0
2006,K.51,8163,41
2005,W.8,731,3
2006,W.8,693,4
2005,AU.37,42,0
2006,AU.37,36,0
2006,AJ.88,1666,9
2006,BO.20,1289,5
2006,K.40,8926,39
2006,BO.67,239,0
2006,BT.35,328,2
2005,BT.35,314,1
2005,L.31,2456,8
2005,M.8,1089,3
2006,M.8,1150,5
2006,BU.1,6616,33
2006,AU.54,23056,188
2006,BT.72,3747,14
2006,AL.23,851,3
2006,R.15,2935,14
2006,BO.69,1709,20
2006,N.26,797,7
2006,BO.65,1455,9
2006,AH.2,341,2
2006,AU.1,3444,31
2006,K.82,7765,51
2006,R.32,3475,12
2006,K.63,6714,44
2005,BN.2,218,1
2006,BN.2,251,0
2006,Z.5,368,6
2005,Z.5,292,1
2005,AZ.19,165,0
2006,AZ.19,168,1
2006,BV.8,16749,154
2006,BH.7,4957,36
2005,D.12,2669,12
2006,AH.164,10508,74
2006,AF.8,2296,13
2006,BO.53,10130,54
2006,AI.27,951,5
2006,AJ.89,2950,16
2006,BW.163,3939,23
2006,BH.42,147,0
2006,X.49,9402,62
2006,BZ.33,1078,5
2005,AR.20,771,5
2006,AR.20,809,5
2005,Z.1,943,9
2006,Z.1,887,5
2006,K.79,5331,35
2006,P.2,18477,116
2006,K.13,14067,118
2006,BV.3,4653,36
2006,P.13,5379,28
2006,AU.40,29863,202
2006,AU.69,2984,15
2006,W.5,2658,1
2006,BV.33,1537,3
2006,AJ.19,861,2
2006,AJ.9,8597,40
2006,AO.28,4534,34
2006,W.4,32926,219
2006,AL.45,530,1
2006,W.10,1221,6
2006,J.7,4210,15
2006,J.6,6653,41
2005,Q.36,3273,24
2006,Q.36,3051,21
2006,AV.12,103,0
2006,AU.34,7344,37
2005,L.57,3823,18
2006,AV.10,10779,115
2006,AJ.44,1411,7
2006,AR.2,2896,18
2006,BW.125,2243,15
2006,BW.92,6518,66
2006,AJ.7,6490,37
2006,BF.44,4179,35
2006,BG.19,2959,17
2006,K.57,3377,20
2006,L.20,6754,40
2006,AJ.55,1482,7
2005,BO.1,675,1
2006,AU.25,6678,50
2005,AZ.1,364,2
2006,AZ.1,1170,7
2006,BF.29,1206,2
2006,BW.174,2455,29
2006,R.20,10732,95
2006,Y.5,2135,5
2006,K.76,1232,11
2005,W.17,61,0
2006,W.17,68,0
2006,BY.10,647,1
2005,L.51,876,4
2006,BP.24,6272,37
2006,AH.118,509,3
2005,BW.164,8116,57
2006,BW.164,8131,39
2006,AU.35,7765,49
2005,AH.43,275,3
2006,AH.43,377,2
2006,O.11,4069,37
2006,AH.81,2046,11
2006,AR.25,851,1
2005,BF.22,947,5
2006,BF.22,766,3
2006,AL.73,1108,5
2006,P.24,4502,33
2005,BB.14,379,0
2006,BB.14,357,1
2006,BB.3,2129,20
2005,BB.12,1472,8
2006,BB.11,834,3
2006,K.31,4072,44
2006,K.74,7771,45
2006,K.96,1492,11
2005,K.96,1213,9
2006,Z.38,9320,82
2006,AQ.31,3499,13
2006,BW.168,11023,77
2006,BO.71,1729,11
2006,AN.16,6819,77
2006,AW.1,1523,4
2006,AH.77,826,6
2006,AC.3,2416,32
2006,L.19,850,1
2006,Z.39,379,5
2006,BO.39,1492,8
2006,AJ.35,29372,198
2006,BZ.11,2955,25
2006,AU.26,3469,16
2006,AF.23,239,1
2006,BD.2,3253,28
2005,BW.81,4273,28
2006,BW.36,6808,33
2006,AO.29,3231,18
2005,AO.29,467,0
2006,P.34,8128,65
2005,BH.13,1838,14
2006,BH.13,2404,14
2005,AQ.32,3394,23
2006,AL.24,3212,25
2006,BW.81,3766,10
2006,K.77,804,5
2006,AJ.29,16941,87
2005,P.1,583,6
2006,BG.4,1891,5
2006,K.33,1537,6
2006,BW.22,2130,12
2005,AJ.121,5823,30
2006,AJ.121,5810,17
2005,K.49,63,0
2006,K.49,59,0
2006,P.1,509,8
2006,AQ.32,3255,19
2006,AL.13,942,4
2005,L.43,505,3
2006,AO.6,2137,12
2006,D.12,2491,12
2006,AL.42,6165,34
2006,BT.50,2623,13
2006,AY.23,2156,19
2006,AJ.54,21766,83
2006,Y.1,3259,23
2006,AH.69,7036,47
2006,K.12,2258,13
2006,X.25,4639,37
2006,L.57,3517,15
2006,BF.39,1451,12
2006,AJ.17,8621,84
2006,AH.14,128,2
2005,BP.15,2839,25
2006,BP.15,3908,27
2006,BW.32,1238,5
2006,BW.150,434,1
2005,BW.150,387,2
2006,BT.4,302,0
2005,BW.60,1308,11
2006,BW.60,1782,19
2005,BT.15,622,3
2006,BT.15,613,4
2006,X.57,1650,2
2006,K.50,7810,33
2006,AH.107,2329,10
2006,L.26,20296,142
2005,Y.15,1010,6
2006,Y.15,758,3
2006,P.18,4938,41
2006,BW.58,1577,11
2006,Z.31,333,1
2006,BF.31,1689,9
2006,AH.68,3310,32
2006,AR.37,1256,15
2006,AH.18,793,6
2005,AJ.55,1031,3
2005,Y.40,975,8
2006,Y.40,973,3
2006,Y.38,3545,24
2006,Y.2,2248,11
2005,Y.2,1429,8
2006,AX.1,4413,13
2006,O.10,12486,116
2006,BZ.27,1824,8
2006,AI.4,2713,19
2005,I.11,714,6
2006,BV.9,4677,28
2006,AY.24,857,6
2005,BF.20,296,1
2006,BF.20,1967,9
2005,P.30,558,3
2006,P.30,590,6
2006,AL.46,4097,31
2005,BP.21,474,7
2006,AL.72,2686,9
2006,AZ.21,3544,20
2006,AO.12,2318,16
2005,AU.50,2317,21
2006,AU.50,2235,7
2006,D.2,1349,7
2006,AR.14,2885,20
2006,AO.25,2701,28
2006,AO.11,2474,11
2006,K.46,963,6
2005,P.9,904,3
2006,AN.3,738,4
2006,BF.10,3898,37
2005,X.2,718,9
2005,BW.77,625,7
2006,BW.77,792,4
2005,AU.36,370,3
2006,AU.36,322,3
2006,R.48,2898,12
2006,AQ.19,1780,10
2005,W.2,3135,22
2006,W.2,3089,19
2006,BW.160,11501,97
2006,AI.45,509,5
2005,AI.45,308,0
2006,BV.20,6843,60
2006,Q.15,1297,7
2006,AO.13,2946,28
2006,G.4,216,0
2005,BY.6,1579,5
2005,AZ.28,801,6
2006,AZ.28,736,7
2006,I.29,3679,26
2006,AO.33,2345,10
2006,BW.63,334,1
2006,K.75,4022,22
2005,AQ.4,878,1
2005,AH.76,1537,6
2005,AI.13,387,1
2006,AI.13,303,1
2005,K.61,12975,101
2006,K.61,17010,97
2006,BF.42,3575,15
2005,R.18,1013,9
2006,R.18,966,3
2006,X.19,1540,7
2006,R.17,2019,10
2005,R.17,2073,18
2006,K.44,1978,11
2005,BM.4,372,1
2006,BM.4,366,1
2006,BW.13,5602,19
2005,AO.16,265,1
2006,AO.16,199,1
2005,BZ.27,1926,11
2006,?,2883,16
2005,K.53,916,6
2006,Q.16,1013,7
2005,Q.16,508,4
2006,AO.5,706,7
2005,BR.3,426,1
2006,BO.76,352,1
2005,I.15,1500,9
2006,I.15,1560,9
2005,AL.70,195,1
2005,BY.12,1269,4
2006,AL.64,291,4
2005,BW.51,840,6
2005,BG.14,238,0
2005,AL.103,396,0
2005,Z.34,356,6
2005,AU.26,2652,15
2005,AM.4,16,0
2005,BB.11,849,10
2005,AV.16,1810,15
2005,L.13,1081,2
2005,AL.90,326,1
2005,BO.25,452,3
2005,AQ.16,569,2
2005,BT.13,913,3
2005,AT.1,63,0
2005,AO.5,468,2
2005,BZ.23,240,2
2005,BW.172,582,7
2005,L.35,205,2
2005,BU.31,1094,3
2005,AY.24,253,2
2005,Z.31,344,0
2005,AU.8,1129,5
2005,AL.99,44,0
2005,Z.8,478,2
2005,BV.19,4334,30
2005,AU.35,4812,28
2005,AH.50,2730,13
2005,AH.74,314,1
2005,AV.7,896,5
2005,AY.21,3,0
2005,BW.6,636,6
2005,AY.28,511,1
2005,AL.63,169,0
2005,AV.9,2147,24
2005,L.42,1325,8
2005,AZ.22,844,3
2005,K.19,160,0
2005,AH.14,155,0
2005,AY.64,788,6
2005,BW.72,363,1
2005,BV.10,126,0
2005,AH.83,689,4
2005,I.8,1072,6
2005,AL.101,925,4
2005,BT.14,259,0
2005,N.10,1240,4
2005,BW.63,337,3
2005,AJ.18,218,1
2005,AJ.117,408,1
2005,BO.32,6446,49
2005,K.28,1618,9
2005,BH.10,552,3
2005,AH.67,1288,17
2005,Q.2,703,5
2005,AJ.3,154,1
2005,I.33,612,4
2005,AL.75,95,0
2005,K.12,2419,12
2005,D.2,1066,3
2005,N.23,412,3
2006,AH.125,3043,17
2005,BW.124,5,0
2006,BW.124,4,0
2005,BT.23,202,0
2005,AN.12,1999,16
2006,I.41,1474,6
2006,L.56,1998,12
2006,BW.183,2347,9
2006,AN.12,2050,21
2006,I.24,2258,13
2006,W.30,236,0
2005,X.35,379,1
2005,BT.4,326,0
2006,BB.6,1592,11
2005,AH.122,156,1
2006,AH.122,193,0
2006,AL.88,1943,8
2005,BO.2,1154,4
2005,AC.2,951,4
2005,R.7,532,5
2005,R.38,15,0
2005,V.11,169,0
2005,AJ.113,1095,2
2005,X.28,285,0
2005,K.46,1012,2
2005,BW.76,85,1
2005,AZ.2,736,2
2005,AL.60,30,0
2005,BG.3,59,0
2005,AH.15,130,0
2005,K.77,358,2
2005,R.22,1618,12
2005,R.49,501,1
2005,AH.19,1611,11
2005,BT.18,232,0
2005,R.1,973,1
2005,D.24,125,1
2005,AL.105,287,0
2005,AJ.23,276,0
2005,X.41,409,0
2005,Q.27,454,2
2005,BT.28,197,2
2005,W.14,250,0
2005,L.7,787,6
2005,AJ.85,2094,6
2005,AW.4,550,7
2005,BW.186,17,0
2005,AD.1,117,0
2005,AL.87,289,3
2005,AL.77,265,0
2005,P.15,197,0
2005,Z.30,16,0
2005,AL.43,239,1
2005,BU.9,711,1
2005,BW.155,514,5
2005,AH.17,1916,10
2005,AQ.22,572,1
2005,AY.65,382,3
2005,Z.11,211,2
2005,BW.33,784,2
2005,BW.54,582,7
2005,BF.8,759,4
2005,R.42,237,0
2005,K.24,1739,13
2005,BO.66,3392,16
2005,BW.25,87,0
2005,K.58,287,7
2005,BT.25,93,0
2005,AF.12,372,0
2005,BT.21,51,0
2005,R.31,1289,7
2005,Y.16,127,1
2005,BO.100,1297,3
2005,BV.12,859,8
2005,AU.73,1067,10
2005,AM.6,6,0
2007,X.45,99368,789
2007,Y.29,55783,435
2007,P.18,4923,46
2007,X.40,5573,22
2007,Y.42,25800,168
